"汉字","读音","第二读音","第三读音","第四读音","ID"
"躬","gong",,,,856
"公","gong",,,,857
"宫","gong",,,,858
"弓","gong",,,,859
"巩","gong",,,,860
"汞","gong",,,,861
"贡","gong",,,,863
"共","gong",,,,864
"钩","gou",,,,865
"勾","gou",,,,866
"沟","gou",,,,867
"苟","gou",,,,868
"垢","gou",,,,870
"构","gou",,,,871
"购","gou",,,,872
"够","gou",,,,873
"辜","gu",,,,874
"咕","gu",,,,876
"箍","gu",,,,877
"估","gu",,,,878
"沽","gu",,,,879
"孤","gu",,,,880
"鼓","gu",,,,882
"古","gu",,,,883
"蛊","gu",,,,884
"骨","gu",,,,885
"谷","gu",,,,886
"故","gu",,,,888
"顾","gu",,,,889
"固","gu",,,,890
"雇","gu",,,,891
"刮","gua",,,,892
"剐","gua",,,,894
"寡","gua",,,,895
"挂","gua",,,,896
"褂","gua",,,,897
"乖","guai",,,,898
"怪","guai",,,,900
"棺","guan",,,,901
"关","guan",,,,902
"官","guan",,,,903
"冠","guan",,,,904
"观","guan",,,,905
"馆","guan",,,,907
"罐","guan",,,,908
"惯","guan",,,,909
"灌","guan",,,,910
"贯","guan",,,,911
"光","guang",,,,912
"逛","guang",,,,914
"瑰","gui",,,,915
"规","gui",,,,916
"圭","gui",,,,917
"硅","gui",,,,918
"归","gui",,,,919
"闺","gui",,,,921
"轨","gui",,,,922
"鬼","gui",,,,923
"诡","gui",,,,924
"癸","gui",,,,925
"柜","gui",,,,927
"跪","gui",,,,928
"贵","gui",,,,929
"刽","gui",,,,930
"辊","gun",,,,931
"滚","gun",,,,932
"锅","guo",,,,934
"郭","guo",,,,935
"国","guo",,,,936
"果","guo",,,,937
"裹","guo",,,,938
"哈","ha",,,,940
"骸","hai",,,,941
"孩","hai",,,,942
"海","hai",,,,943
"氦","hai",,,,944
"害","hai",,,,946
"骇","hai",,,,947
"酣","han",,,,948
"憨","han",,,,949
"邯","han",,,,950
"含","han",,,,952
"涵","han",,,,953
"寒","han",,,,954
"函","han",,,,955
"喊","han",,,,956
"罕","han",,,,957
"撼","han",,,,959
"捍","han",,,,960
"旱","han",,,,961
"憾","han",,,,962
"悍","han",,,,963
"汗","han",,,,965
"汉","han",,,,966
"夯","hang","ben",,,967
"杭","hang",,,,968
"航","hang",,,,969
"嚎","hao",,,,971
"豪","hao",,,,972
"毫","hao",,,,973
"郝","hao",,,,974
